date_reported,date_occurred,area,crime_code,victim_age,status ID,status
2020-01-08,2020-01-08 22:30:00,3,624,36,AO,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-01 03:30:00,1,624,25,IC,"Suspect Identified, Awaiting Action"
2020-04-14,2020-02-13 12:00:00,1,845,0,AA,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 17:30:00,15,745,76,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 04:15:00,19,740,31,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-01 00:30:00,1,121,25,IC,Case in Court Proceedings
2020-01-02,2020-01-02 13:15:00,1,442,23,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 00:40:00,1,946,0,IC,"Cold Case, No Progress"
2020-01-04,2020-01-04 02:00:00,1,341,23,IC,"Suspect Identified, Awaiting Action"
2020-06-19,2020-05-26 19:25:00,17,341,0,AO,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 22:00:00,1,330,29,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-05 09:55:00,1,930,35,IC,"Cold Case, No Progress"
2020-01-05,2020-01-05 13:55:00,1,341,41,AA,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-07 16:38:00,1,648,0,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 18:05:00,1,442,24,IC,"Suspect Identified, Awaiting Action"
2021-11-26,2020-11-30 07:30:00,19,626,24,IC,"Suspect Identified, Awaiting Action"
2020-11-29,2020-11-28 20:18:00,11,626,34,AO,"Suspect Identified, Awaiting Action"
2020-02-22,2020-02-22 19:00:00,5,440,29,IC,"Suspect Identified, Awaiting Action"
2021-11-22,2020-11-19 12:00:00,9,354,46,IC,"Suspect Identified, Awaiting Action"
2020-01-14,2020-01-14 13:30:00,1,210,66,IC,"Suspect Identified, Awaiting Action"
2020-09-10,2020-09-09 17:35:00,9,354,40,IC,"Suspect Identified, Awaiting Action"
2020-01-14,2020-01-14 17:30:00,1,341,31,IC,"Suspect Identified, Awaiting Action"
2020-01-15,2020-01-15 14:45:00,1,442,27,IC,"Suspect Identified, Awaiting Action"
2021-11-18,2020-12-28 00:01:00,10,354,46,IC,"Suspect Identified, Awaiting Action"
2020-01-15,2020-01-15 07:00:00,1,230,62,AO,"Suspect Identified, Awaiting Action"
2021-11-29,2020-11-01 12:00:00,10,354,34,IC,"Suspect Identified, Awaiting Action"
2020-02-15,2020-02-15 18:30:00,11,330,43,IC,"Suspect Identified, Awaiting Action"
2020-01-19,2020-01-19 20:00:00,1,230,71,AA,"Suspect Identified, Awaiting Action"
2020-10-15,2020-10-15 20:00:00,8,624,50,AO,"Suspect Identified, Awaiting Action"
2020-01-20,2020-01-20 04:00:00,1,121,19,IC,Case in Court Proceedings
2020-01-23,2020-01-23 06:00:00,1,310,51,AO,"Suspect Identified, Awaiting Action"
2021-11-24,2020-04-28 01:00:00,8,354,27,IC,"Suspect Identified, Awaiting Action"
2020-07-29,2020-07-29 20:20:00,11,626,33,AO,"Suspect Identified, Awaiting Action"
2020-09-15,2020-09-03 20:00:00,1,510,0,IC,"Suspect Identified, Awaiting Action"
2020-01-27,2020-01-27 15:00:00,1,930,69,IC,"Cold Case, No Progress"
2021-11-29,2020-11-01 12:00:00,10,354,39,IC,"Suspect Identified, Awaiting Action"
2020-12-04,2020-12-03 08:11:00,7,442,19,IC,"Suspect Identified, Awaiting Action"
2020-08-27,2020-08-27 12:55:00,9,624,57,IC,"Suspect Identified, Awaiting Action"
2020-01-28,2020-01-28 21:00:00,1,740,0,IC,"Suspect Identified, Awaiting Action"
2020-06-20,2020-06-20 10:00:00,8,624,78,AO,"Suspect Identified, Awaiting Action"
2020-01-30,2020-01-29 19:30:00,1,442,0,IC,"Suspect Identified, Awaiting Action"
2020-01-30,2020-01-30 00:55:00,1,330,24,AA,"Suspect Identified, Awaiting Action"
2020-01-31,2020-01-30 20:40:00,1,230,52,AA,"Suspect Identified, Awaiting Action"
2020-02-04,2020-02-04 09:20:00,1,230,38,AA,"Suspect Identified, Awaiting Action"
2020-02-04,2020-02-04 16:45:00,1,442,55,IC,"Suspect Identified, Awaiting Action"
2022-06-15,2020-11-12 17:00:00,14,420,0,IC,"Suspect Identified, Awaiting Action"
2020-02-06,2020-02-06 11:35:00,1,740,66,IC,"Suspect Identified, Awaiting Action"
2020-12-11,2020-12-11 04:20:00,2,761,34,AO,"Suspect Identified, Awaiting Action"
2020-11-26,2020-11-26 01:15:00,12,236,50,AA,Case in Court Proceedings
2020-02-08,2020-02-08 16:00:00,1,442,35,IC,"Suspect Identified, Awaiting Action"
